# Logfile created on 2026-03-28 00:56:58 +0100 by logger.rb/v1.5.3
2026-03-28 00:56:58 +0100: Memory Usage (437668K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA_to_PADS.gds
2026-03-28 00:56:58 +0100: Memory Usage (437668K) : Ruby Version for klayout: 3.2.3
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : Loading database to memory is complete.
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_to_PADS_HPA_activ.lyrdb
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : Evaluate switches.
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : tables selected: activ
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : flat mode is enabled.
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : FEOL enabled: false
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : BEOL enabled: false
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : OFFGRID enabled: true
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : PIN enabled: false
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : FORBIDDEN enabled: false
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : RECOMMENDED enabled: true
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : PreCheck DRC enabled: false
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : CONNECTIVITY_RULES enabled: false.
2026-03-28 00:56:58 +0100: Memory Usage (440592K) : Read in polygons from layers.
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_drw has 198 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_pin has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_mask has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_filler has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_nofill has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_iopc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : activ_noqrc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : biwind_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : biwind_opc has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443584K) : pemwind_drw has 0 polygons
2026-03-28 00:56:59 +0100: Memory Usage (443968K) : gatpoly_drw has 108 polygons
2026-03-28 00:56:59 +0100: Memory Usage (444180K) : gatpoly_pin has 124 polygons
