# Logfile created on 2026-03-28 00:57:04 +0100 by logger.rb/v1.5.3
2026-03-28 00:57:04 +0100: Memory Usage (436820K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA_to_PADS.gds
2026-03-28 00:57:04 +0100: Memory Usage (436820K) : Ruby Version for klayout: 3.2.3
2026-03-28 00:57:04 +0100: Memory Usage (439268K) : Loading database to memory is complete.
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_to_PADS_HPA_metalnfiller.lyrdb
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : Evaluate switches.
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : tables selected: metalnfiller
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : flat mode is enabled.
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : FEOL enabled: false
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : BEOL enabled: false
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : OFFGRID enabled: true
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : PIN enabled: false
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : FORBIDDEN enabled: false
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : RECOMMENDED enabled: true
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : PreCheck DRC enabled: false
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : CONNECTIVITY_RULES enabled: false.
2026-03-28 00:57:04 +0100: Memory Usage (439496K) : Read in polygons from layers.
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_drw has 198 polygons
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_pin has 0 polygons
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_mask has 0 polygons
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_filler has 0 polygons
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_nofill has 0 polygons
2026-03-28 00:57:04 +0100: Memory Usage (442592K) : activ_opc has 0 polygons
