# Logfile created on 2026-03-28 00:57:08 +0100 by logger.rb/v1.5.3
2026-03-28 00:57:08 +0100: Memory Usage (436704K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA_to_PADS.gds
2026-03-28 00:57:08 +0100: Memory Usage (436704K) : Ruby Version for klayout: 3.2.3
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : Loading database to memory is complete.
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_to_PADS_HPA_topvia1.lyrdb
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : Evaluate switches.
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : tables selected: topvia1
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : flat mode is enabled.
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : FEOL enabled: false
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : BEOL enabled: false
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : OFFGRID enabled: true
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : PIN enabled: false
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : FORBIDDEN enabled: false
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : RECOMMENDED enabled: true
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : PreCheck DRC enabled: false
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : CONNECTIVITY_RULES enabled: false.
2026-03-28 00:57:08 +0100: Memory Usage (439184K) : Read in polygons from layers.
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_drw has 198 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_pin has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_mask has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_filler has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_nofill has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_opc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_iopc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : activ_noqrc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : biwind_drw has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : biwind_opc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442284K) : pemwind_drw has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (442992K) : gatpoly_drw has 108 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_pin has 124 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_filler has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_nofill has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_opc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_iopc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (443100K) : gatpoly_noqrc has 0 polygons
2026-03-28 00:57:08 +0100: Memory Usage (449432K) : cont_drw has 16803 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : cont_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : nsd_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : nsd_block has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_drw has 390 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_pin has 515 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_slit has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_text has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_res has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_iprobe has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal1_diffprb has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : passiv_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : passiv_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : passiv_sbump has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : passiv_pillar has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : passiv_pdl has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_drw has 98 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_pin has 12 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_slit has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_text has 1 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_res has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_iprobe has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : metal2_diffprb has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : baspoly_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : baspoly_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : psd_drw has 24 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : nldb_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : digibnd_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : via1_drw has 9590 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_slit has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_text has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_res has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_iprobe has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backmetal1_diffprb has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : backpassiv_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : res_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : sram_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : trans_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : ind_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : ind_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : ind_text has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (449432K) : salblock_drw has 7 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : via2_drw has 10845 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_drw has 75 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_pin has 13 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_slit has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_text has 5 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_res has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_iprobe has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : metal3_diffprb has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : nwell_drw has 5 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450928K) : nwell_pin has 0 polygons
