# Logfile created on 2026-03-23 16:41:53 +0100 by logger.rb/v1.5.3
2026-03-23 16:41:53 +0100: Memory Usage (436060K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-23 16:41:53 +0100: Memory Usage (436060K) : Ruby Version for klayout: 3.2.3
2026-03-23 16:41:53 +0100: Memory Usage (436060K) : Loading database to memory is complete.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_core/OTA_Telescopic_TOP_wp_OTA_Telescopic_core_main.lyrdb
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : Evaluate switches.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : tables selected: main
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : deep mode is enabled.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : FEOL enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : BEOL enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : OFFGRID enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : PIN enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : FORBIDDEN enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : RECOMMENDED enabled: true
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : PreCheck DRC enabled: false
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : CONNECTIVITY_RULES enabled: true.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : Read in polygons from layers.
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_drw has 3122 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_pin has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_mask has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_filler has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_nofill has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_opc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_iopc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : activ_noqrc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : biwind_drw has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : biwind_opc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : pemwind_drw has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : gatpoly_drw has 1699 polygons
2026-03-23 16:41:53 +0100: Memory Usage (437456K) : gatpoly_pin has 240 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : gatpoly_filler has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : gatpoly_nofill has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : gatpoly_opc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : gatpoly_iopc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : gatpoly_noqrc has 0 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438584K) : cont_drw has 13252 polygons
2026-03-23 16:41:53 +0100: Memory Usage (438848K) : cont_opc has 0 polygons
