# Logfile created on 2026-03-25 02:33:03 +0100 by logger.rb/v1.5.3
2026-03-25 02:33:03 +0100: Memory Usage (435656K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:33:03 +0100: Memory Usage (435656K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:33:03 +0100: Memory Usage (435656K) : Loading database to memory is complete.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_metalnfiller.lyrdb
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : Evaluate switches.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : tables selected: metalnfiller
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : deep mode is enabled.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : FEOL enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : BEOL enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : OFFGRID enabled: true
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : PIN enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : FORBIDDEN enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : RECOMMENDED enabled: true
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : PreCheck DRC enabled: false
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : Read in polygons from layers.
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_drw has 5032 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_iopc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : activ_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : biwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (437124K) : biwind_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438320K) : pemwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438320K) : gatpoly_drw has 2679 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438320K) : gatpoly_pin has 377 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438320K) : gatpoly_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438320K) : gatpoly_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438584K) : gatpoly_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438584K) : gatpoly_iopc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438584K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438584K) : cont_drw has 24680 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438584K) : cont_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438848K) : nsd_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438972K) : nsd_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438972K) : metal1_drw has 7670 polygons
2026-03-25 02:33:03 +0100: Memory Usage (438972K) : metal1_pin has 2038 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439232K) : metal1_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439232K) : metal1_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439232K) : metal1_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439232K) : metal1_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439496K) : metal1_text has 1 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439496K) : metal1_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439496K) : metal1_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439496K) : metal1_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439496K) : metal1_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439996K) : metal1_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439996K) : passiv_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439996K) : passiv_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (439996K) : passiv_sbump has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440260K) : passiv_pillar has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440260K) : passiv_pdl has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440260K) : metal2_drw has 1317 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440260K) : metal2_pin has 11 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440820K) : metal2_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440820K) : metal2_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440820K) : metal2_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440820K) : metal2_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (440820K) : metal2_text has 6 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441084K) : metal2_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441128K) : metal2_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441128K) : metal2_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441128K) : metal2_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441388K) : metal2_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441388K) : baspoly_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441388K) : baspoly_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441388K) : psd_drw has 1551 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441388K) : nldb_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441652K) : digibnd_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441652K) : via1_drw has 9054 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441652K) : backmetal1_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441976K) : backmetal1_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441976K) : backmetal1_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441976K) : backmetal1_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441976K) : backmetal1_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (441976K) : backmetal1_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442240K) : backmetal1_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442240K) : backmetal1_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442240K) : backmetal1_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442240K) : backmetal1_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442240K) : backmetal1_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442504K) : backmetal1_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442504K) : backpassiv_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442504K) : res_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442504K) : sram_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442772K) : trans_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442772K) : ind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442772K) : ind_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (442772K) : ind_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443032K) : salblock_drw has 7 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443032K) : via2_drw has 4753 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443100K) : metal3_drw has 226 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443100K) : metal3_pin has 8 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443360K) : metal3_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443360K) : metal3_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443360K) : metal3_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443500K) : metal3_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443500K) : metal3_text has 2 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443500K) : metal3_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443760K) : metal3_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443760K) : metal3_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443760K) : metal3_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443760K) : metal3_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (443760K) : nwell_drw has 1216 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444024K) : nwell_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444024K) : nbulay_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444024K) : nbulay_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444024K) : nbulay_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444024K) : emwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444280K) : emwind_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444280K) : deepco_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444504K) : deepco_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444504K) : mim_drw has 2 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444504K) : edgeseal_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444504K) : edgeseal_bound has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444764K) : substrate_drw has 723 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444764K) : substrate_text has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444764K) : dfpad_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444764K) : dfpad_pillar has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (444764K) : dfpad_sbump has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445028K) : thickgateox_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445028K) : pldb_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445028K) : pwell_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445028K) : pwell_pin has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445028K) : pwell_block has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445292K) : ic_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445292K) : via3_drw has 4357 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445396K) : metal4_drw has 157 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445396K) : metal4_pin has 3 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445656K) : metal4_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445656K) : metal4_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445656K) : metal4_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445656K) : metal4_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445656K) : metal4_text has 5 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445920K) : metal4_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445920K) : metal4_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (445920K) : metal4_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446060K) : metal4_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446060K) : metal4_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446060K) : heattrans_drw has 1555 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446320K) : heatres_drw has 7 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446320K) : pempoly_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446320K) : fbe_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446320K) : empoly_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446320K) : ldmos_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446580K) : pbiwind_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446580K) : digisub_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446580K) : nodrc_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446840K) : text_drw has 1107 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446840K) : via4_drw has 4250 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446840K) : metal5_drw has 107 polygons
2026-03-25 02:33:03 +0100: Memory Usage (446840K) : metal5_pin has 12 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447104K) : metal5_mask has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447104K) : metal5_filler has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447104K) : metal5_nofill has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447104K) : metal5_slit has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447104K) : metal5_text has 18 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447368K) : metal5_opc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447368K) : metal5_noqrc has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447368K) : metal5_res has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447368K) : metal5_iprobe has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447368K) : metal5_diffprb has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447676K) : radhard_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447744K) : memcap_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447744K) : varicap_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (447744K) : flash_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448004K) : intbondvia_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448004K) : intbondmet_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448004K) : devbondvia_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448004K) : devbondmet_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448004K) : devtrench_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448268K) : redist_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448268K) : graphbot_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448268K) : graphtop_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448268K) : antvia1_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448268K) : antmetal2_drw has 0 polygons
2026-03-25 02:33:03 +0100: Memory Usage (448532K) : graphcont_drw has 0 polygons
