# Logfile created on 2026-03-25 02:33:05 +0100 by logger.rb/v1.5.3
2026-03-25 02:33:05 +0100: Memory Usage (436304K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:33:05 +0100: Memory Usage (436304K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:33:05 +0100: Memory Usage (436352K) : Loading database to memory is complete.
2026-03-25 02:33:05 +0100: Memory Usage (436352K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_pad.lyrdb
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : Evaluate switches.
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : tables selected: pad
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : deep mode is enabled.
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : FEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : BEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : OFFGRID enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : PIN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : FORBIDDEN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : RECOMMENDED enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : PreCheck DRC enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : Read in polygons from layers.
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_drw has 5032 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_pin has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_mask has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_iopc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : activ_noqrc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : biwind_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438048K) : biwind_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : pemwind_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_drw has 2679 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_pin has 377 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438968K) : gatpoly_iopc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439232K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439232K) : cont_drw has 24680 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439232K) : cont_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439468K) : nsd_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439468K) : nsd_block has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439468K) : metal1_drw has 7670 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439728K) : metal1_pin has 2038 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439728K) : metal1_mask has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439728K) : metal1_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439728K) : metal1_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439992K) : metal1_slit has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439992K) : metal1_text has 1 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439992K) : metal1_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439992K) : metal1_noqrc has 0 polygons
