# Logfile created on 2026-03-25 02:32:55 +0100 by logger.rb/v1.5.3
2026-03-25 02:32:55 +0100: Memory Usage (435508K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:32:55 +0100: Memory Usage (435508K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:32:55 +0100: Memory Usage (435508K) : Loading database to memory is complete.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_psd.lyrdb
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : Evaluate switches.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : tables selected: psd
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : deep mode is enabled.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : FEOL enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : BEOL enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : OFFGRID enabled: true
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : PIN enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : FORBIDDEN enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : RECOMMENDED enabled: true
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : PreCheck DRC enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : Read in polygons from layers.
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : activ_drw has 5032 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : activ_pin has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437064K) : activ_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : activ_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : activ_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : activ_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : activ_iopc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : activ_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : biwind_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (437064K) : biwind_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438104K) : pemwind_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438104K) : gatpoly_drw has 2679 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438104K) : gatpoly_pin has 377 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438104K) : gatpoly_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438104K) : gatpoly_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438368K) : gatpoly_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438368K) : gatpoly_iopc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438368K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438368K) : cont_drw has 24680 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438368K) : cont_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438632K) : nsd_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438740K) : nsd_block has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438740K) : metal1_drw has 7670 polygons
2026-03-25 02:32:56 +0100: Memory Usage (438740K) : metal1_pin has 2038 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439000K) : metal1_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439000K) : metal1_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439000K) : metal1_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439000K) : metal1_slit has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439264K) : metal1_text has 1 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439264K) : metal1_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439264K) : metal1_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439264K) : metal1_res has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439264K) : metal1_iprobe has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439704K) : metal1_diffprb has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439704K) : passiv_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439704K) : passiv_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439704K) : passiv_sbump has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439704K) : passiv_pillar has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439968K) : passiv_pdl has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439968K) : metal2_drw has 1317 polygons
2026-03-25 02:32:56 +0100: Memory Usage (439968K) : metal2_pin has 11 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440580K) : metal2_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440580K) : metal2_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440580K) : metal2_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440580K) : metal2_slit has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440580K) : metal2_text has 6 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440844K) : metal2_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440880K) : metal2_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440880K) : metal2_res has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (440880K) : metal2_iprobe has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441140K) : metal2_diffprb has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441140K) : baspoly_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441140K) : baspoly_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441140K) : psd_drw has 1551 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441140K) : nldb_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441404K) : digibnd_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441404K) : via1_drw has 9054 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441404K) : backmetal1_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441728K) : backmetal1_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441728K) : backmetal1_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441728K) : backmetal1_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441728K) : backmetal1_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441728K) : backmetal1_slit has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441992K) : backmetal1_text has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441992K) : backmetal1_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441992K) : backmetal1_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441992K) : backmetal1_res has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (441992K) : backmetal1_iprobe has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442256K) : backmetal1_diffprb has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442256K) : backpassiv_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442256K) : res_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442256K) : sram_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442528K) : trans_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442528K) : ind_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442528K) : ind_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442528K) : ind_text has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442788K) : salblock_drw has 7 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442788K) : via2_drw has 4753 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442860K) : metal3_drw has 226 polygons
2026-03-25 02:32:56 +0100: Memory Usage (442860K) : metal3_pin has 8 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443120K) : metal3_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443120K) : metal3_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443120K) : metal3_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443300K) : metal3_slit has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443300K) : metal3_text has 2 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443300K) : metal3_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443300K) : metal3_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443560K) : metal3_res has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443560K) : metal3_iprobe has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443560K) : metal3_diffprb has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443560K) : nwell_drw has 1216 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443560K) : nwell_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443824K) : nbulay_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443824K) : nbulay_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443824K) : nbulay_block has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (443824K) : emwind_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444044K) : emwind_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444044K) : deepco_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444268K) : deepco_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444268K) : mim_drw has 2 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444268K) : edgeseal_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444268K) : edgeseal_bound has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444528K) : substrate_drw has 723 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444528K) : substrate_text has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444528K) : dfpad_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444528K) : dfpad_pillar has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444528K) : dfpad_sbump has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444792K) : thickgateox_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444792K) : pldb_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444792K) : pwell_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444792K) : pwell_pin has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (444792K) : pwell_block has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445056K) : ic_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445056K) : via3_drw has 4357 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445168K) : metal4_drw has 157 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445168K) : metal4_pin has 3 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445428K) : metal4_mask has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445428K) : metal4_filler has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445428K) : metal4_nofill has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445428K) : metal4_slit has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445428K) : metal4_text has 5 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445692K) : metal4_opc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445692K) : metal4_noqrc has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445692K) : metal4_res has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445824K) : metal4_iprobe has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445824K) : metal4_diffprb has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (445824K) : heattrans_drw has 1555 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446084K) : heatres_drw has 7 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446084K) : pempoly_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446084K) : fbe_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446084K) : empoly_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446344K) : ldmos_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446344K) : pbiwind_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446344K) : digisub_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446344K) : nodrc_drw has 0 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446604K) : text_drw has 1107 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446604K) : via4_drw has 4250 polygons
2026-03-25 02:32:56 +0100: Memory Usage (446604K) : metal5_drw has 107 polygons
