# Logfile created on 2026-03-25 02:32:55 +0100 by logger.rb/v1.5.3
2026-03-25 02:32:55 +0100: Memory Usage (435636K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:32:55 +0100: Memory Usage (435636K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:32:55 +0100: Memory Usage (435636K) : Loading database to memory is complete.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_pwellblock.lyrdb
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : Evaluate switches.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : tables selected: pwellblock
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : deep mode is enabled.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : FEOL enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : BEOL enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : OFFGRID enabled: true
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : PIN enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : FORBIDDEN enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : RECOMMENDED enabled: true
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : PreCheck DRC enabled: false
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : Read in polygons from layers.
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_drw has 5032 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_pin has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_mask has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_filler has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_nofill has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_opc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_iopc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : activ_noqrc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : biwind_drw has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (437224K) : biwind_opc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438324K) : pemwind_drw has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438324K) : gatpoly_drw has 2679 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438324K) : gatpoly_pin has 377 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438324K) : gatpoly_filler has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438324K) : gatpoly_nofill has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438588K) : gatpoly_opc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438588K) : gatpoly_iopc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438588K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438588K) : cont_drw has 24680 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438588K) : cont_opc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438852K) : nsd_drw has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438968K) : nsd_block has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438968K) : metal1_drw has 7670 polygons
2026-03-25 02:32:55 +0100: Memory Usage (438968K) : metal1_pin has 2038 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439228K) : metal1_mask has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439228K) : metal1_filler has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439228K) : metal1_nofill has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439228K) : metal1_slit has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439492K) : metal1_text has 1 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439492K) : metal1_opc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439492K) : metal1_noqrc has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439492K) : metal1_res has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439492K) : metal1_iprobe has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439872K) : metal1_diffprb has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439872K) : passiv_drw has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439872K) : passiv_pin has 0 polygons
2026-03-25 02:32:55 +0100: Memory Usage (439872K) : passiv_sbump has 0 polygons
