 time            Vin            
 0.00000000e+00 -2.50022225e-12 
 2.44140625e-14  1.71192006e-06 
 4.88281250e-14  3.42384262e-06 
 9.76562500e-14  6.84768773e-06 
 1.95312500e-13  1.36953779e-05 
 3.90625000e-13  2.73907582e-05 
 7.81250000e-13  5.47815172e-05 
 1.56250000e-12  1.09563024e-04 
 3.12500000e-12  2.19125944e-04 
 5.56640625e-12  3.90317545e-04 
 8.00781250e-12  5.61508228e-04 
 1.04492187e-11  7.32697589e-04 
 1.28906250e-11  9.03885226e-04 
 1.53320312e-11  1.07507074e-03 
 1.77734375e-11  1.24625372e-03 
 2.02148437e-11  1.41743376e-03 
 2.26562500e-11  1.58861048e-03 
 2.50976562e-11  1.75978345e-03 
 2.75390625e-11  1.93095229e-03 
 2.99804687e-11  2.10211657e-03 
 3.24218750e-11  2.27327592e-03 
 3.48632813e-11  2.44442991e-03 
 3.73046875e-11  2.61557815e-03 
 3.97460938e-11  2.78672024e-03 
 4.21875000e-11  2.95785577e-03 
 4.46289063e-11  3.12898434e-03 
 4.70703125e-11  3.30010555e-03 
 4.95117188e-11  3.47121899e-03 
 5.19531250e-11  3.64232426e-03 
 5.43945313e-11  3.81342097e-03 
 5.68359375e-11  3.98450869e-03 
 5.92773438e-11  4.15558705e-03 
 6.17187500e-11  4.32665562e-03 
 6.41601563e-11  4.49771402e-03 
 6.66015625e-11  4.66876183e-03 
 6.90429688e-11  4.83979865e-03 
 7.14843750e-11  5.01082409e-03 
 7.39257813e-11  5.18183773e-03 
 7.63671875e-11  5.35283918e-03 
 7.88085938e-11  5.52382804e-03 
 8.12500000e-11  5.69480390e-03 
 8.36914063e-11  5.86576635e-03 
 8.61328125e-11  6.03671501e-03 
 8.85742188e-11  6.20764946e-03 
 9.10156250e-11  6.37856930e-03 
 9.34570313e-11  6.54947413e-03 
 9.58984375e-11  6.72036355e-03 
 9.83398438e-11  6.89123716e-03 
 1.00781250e-10  7.06209455e-03 
 1.03222656e-10  7.23293533e-03 
 1.05664063e-10  7.40375908e-03 
 1.08105469e-10  7.57456541e-03 
 1.10546875e-10  7.74535392e-03 
 1.12988281e-10  7.91612421e-03 
 1.15429688e-10  8.08687586e-03 
 1.17871094e-10  8.25760849e-03 
 1.20312500e-10  8.42832169e-03 
 1.22753906e-10  8.59901505e-03 
 1.25195313e-10  8.76968818e-03 
 1.27636719e-10  8.94034067e-03 
 1.30078125e-10  9.11097213e-03 
 1.32519531e-10  9.28158214e-03 
 1.34960938e-10  9.45217032e-03 
 1.37402344e-10  9.62273625e-03 
 1.39843750e-10  9.79327954e-03 
 1.42285156e-10  9.96379979e-03 
 1.44726563e-10  1.01342966e-02 
 1.47167969e-10  1.03047695e-02 
 1.49609375e-10  1.04752182e-02 
 1.52050781e-10  1.06456423e-02 
 1.54492188e-10  1.08160413e-02 
 1.56933594e-10  1.09864149e-02 
 1.59375000e-10  1.11567626e-02 
 1.61816406e-10  1.13270840e-02 
 1.64257813e-10  1.14973788e-02 
 1.66699219e-10  1.16676466e-02 
 1.69140625e-10  1.18378868e-02 
 1.71582031e-10  1.20080993e-02 
 1.74023438e-10  1.21782834e-02 
 1.76464844e-10  1.23484390e-02 
 1.78906250e-10  1.25185654e-02 
 1.81347656e-10  1.26886624e-02 
 1.83789063e-10  1.28587296e-02 
 1.86230469e-10  1.30287665e-02 
 1.88671875e-10  1.31987727e-02 
 1.91113281e-10  1.33687479e-02 
 1.93554688e-10  1.35386916e-02 
 1.95996094e-10  1.37086034e-02 
 1.98437500e-10  1.38784830e-02 
 2.00878906e-10  1.40483300e-02 
 2.03320313e-10  1.42181439e-02 
 2.05761719e-10  1.43879243e-02 
 2.08203125e-10  1.45576709e-02 
 2.10644531e-10  1.47273832e-02 
 2.13085938e-10  1.48970608e-02 
 2.15527344e-10  1.50667034e-02 
 2.17968750e-10  1.52363106e-02 
 2.20410156e-10  1.54058819e-02 
 2.22851563e-10  1.55754169e-02 
 2.25292969e-10  1.57449153e-02 
 2.27734375e-10  1.59143767e-02 
 2.30175781e-10  1.60838006e-02 
 2.32617188e-10  1.62531866e-02 
 2.35058594e-10  1.64225345e-02 
 2.37500000e-10  1.65918436e-02 
 2.39941406e-10  1.67611137e-02 
 2.42382813e-10  1.69303444e-02 
 2.44824219e-10  1.70995353e-02 
 2.47265625e-10  1.72686859e-02 
 2.49707031e-10  1.74377958e-02 
 2.52148438e-10  1.76068648e-02 
 2.54589844e-10  1.77758923e-02 
 2.57031250e-10  1.79448780e-02 
 2.59472656e-10  1.81138214e-02 
 2.61914062e-10  1.82827223e-02 
 2.64355469e-10  1.84515801e-02 
 2.66796875e-10  1.86203945e-02 
 2.69238281e-10  1.87891650e-02 
 2.71679687e-10  1.89578914e-02 
 2.74121094e-10  1.91265732e-02 
 2.76562500e-10  1.92952099e-02 
 2.79003906e-10  1.94638012e-02 
 2.81445312e-10  1.96323468e-02 
