 time            Vout           
 0.00000000e+00 -2.33960240e-10 
 2.44140625e-14 -2.34316344e-10 
 4.88281250e-14 -2.34954778e-10 
 9.76562500e-14 -2.36661024e-10 
 1.95312500e-13 -2.41617670e-10 
 3.90625000e-13 -2.52789234e-10 
 7.81250000e-13 -2.70486578e-10 
 1.56250000e-12 -2.72257994e-10 
 3.12500000e-12 -6.71075417e-11 
 5.56640625e-12  1.13313064e-09 
 8.00781250e-12  3.88485000e-09 
 1.04492187e-11  8.75856532e-09 
 1.28906250e-11  1.63099716e-08 
 1.53320312e-11  2.70812097e-08 
 1.77734375e-11  4.16014255e-08 
 2.02148437e-11  6.03873457e-08 
 2.26562500e-11  8.39435697e-08 
 2.50976562e-11  1.12762985e-07 
 2.75390625e-11  1.47327024e-07 
 2.99804687e-11  1.88105997e-07 
 3.24218750e-11  2.35559340e-07 
 3.48632813e-11  2.90135937e-07 
 3.73046875e-11  3.52274343e-07 
 3.97460938e-11  4.22403072e-07 
 4.21875000e-11  5.00940817e-07 
 4.46289063e-11  5.88296720e-07 
 4.70703125e-11  6.84870581e-07 
 4.95117188e-11  7.91053108e-07 
 5.19531250e-11  9.07226115e-07 
 5.43945313e-11  1.03376276e-06 
 5.68359375e-11  1.17102771e-06 
 5.92773438e-11  1.31937739e-06 
 6.17187500e-11  1.47916015e-06 
 6.41601563e-11  1.65071646e-06 
 6.66015625e-11  1.83437909e-06 
 6.90429688e-11  2.03047329e-06 
 7.14843750e-11  2.23931695e-06 
 7.39257813e-11  2.46122081e-06 
 7.63671875e-11  2.69648855e-06 
 7.88085938e-11  2.94541704e-06 
 8.12500000e-11  3.20829640e-06 
 8.36914063e-11  3.48541021e-06 
 8.61328125e-11  3.77703565e-06 
 8.85742188e-11  4.08344361e-06 
 9.10156250e-11  4.40489886e-06 
 9.34570313e-11  4.74166016e-06 
 9.58984375e-11  5.09398042e-06 
 9.83398438e-11  5.46210678e-06 
 1.00781250e-10  5.84628078e-06 
 1.03222656e-10  6.24673845e-06 
 1.05664063e-10  6.66371044e-06 
 1.08105469e-10  7.09742212e-06 
 1.10546875e-10  7.54809371e-06 
 1.12988281e-10  8.01594037e-06 
 1.15429688e-10  8.50117232e-06 
 1.17871094e-10  9.00399494e-06 
 1.20312500e-10  9.52460884e-06 
 1.22753906e-10  1.00632100e-05 
 1.25195313e-10  1.06199898e-05 
 1.27636719e-10  1.11951353e-05 
 1.30078125e-10  1.17888291e-05 
 1.32519531e-10  1.24012493e-05 
 1.34960938e-10  1.30325702e-05 
 1.37402344e-10  1.36829617e-05 
 1.39843750e-10  1.43525899e-05 
 1.42285156e-10  1.50416166e-05 
 1.44726563e-10  1.57502001e-05 
 1.47167969e-10  1.64784946e-05 
 1.49609375e-10  1.72266508e-05 
 1.52050781e-10  1.79948156e-05 
 1.54492188e-10  1.87831324e-05 
 1.56933594e-10  1.95917411e-05 
 1.59375000e-10  2.04207780e-05 
 1.61816406e-10  2.12703762e-05 
 1.64257813e-10  2.21406654e-05 
 1.66699219e-10  2.30317721e-05 
 1.69140625e-10  2.39438196e-05 
 1.71582031e-10  2.48769280e-05 
 1.74023438e-10  2.58312144e-05 
 1.76464844e-10  2.68067928e-05 
 1.78906250e-10  2.78037744e-05 
 1.81347656e-10  2.88222674e-05 
 1.83789063e-10  2.98623771e-05 
 1.86230469e-10  3.09242061e-05 
 1.88671875e-10  3.20078542e-05 
 1.91113281e-10  3.31134186e-05 
 1.93554688e-10  3.42409937e-05 
 1.95996094e-10  3.53906715e-05 
 1.98437500e-10  3.65625413e-05 
 2.00878906e-10  3.77566899e-05 
 2.03320313e-10  3.89732018e-05 
 2.05761719e-10  4.02121590e-05 
 2.08203125e-10  4.14736410e-05 
 2.10644531e-10  4.27577252e-05 
 2.13085938e-10  4.40644866e-05 
 2.15527344e-10  4.53939981e-05 
 2.17968750e-10  4.67463301e-05 
 2.20410156e-10  4.81215511e-05 
 2.22851563e-10  4.95197274e-05 
 2.25292969e-10  5.09409233e-05 
 2.27734375e-10  5.23852009e-05 
 2.30175781e-10  5.38526204e-05 
 2.32617188e-10  5.53432401e-05 
 2.35058594e-10  5.68571161e-05 
 2.37500000e-10  5.83943028e-05 
 2.39941406e-10  5.99548528e-05 
 2.42382813e-10  6.15388167e-05 
 2.44824219e-10  6.31462433e-05 
 2.47265625e-10  6.47771797e-05 
 2.49707031e-10  6.64316713e-05 
 2.52148438e-10  6.81097617e-05 
 2.54589844e-10  6.98114929e-05 
 2.57031250e-10  7.15369051e-05 
 2.59472656e-10  7.32860371e-05 
 2.61914062e-10  7.50589259e-05 
 2.64355469e-10  7.68556071e-05 
 2.66796875e-10  7.86761146e-05 
 2.69238281e-10  8.05204810e-05 
 2.71679687e-10  8.23887372e-05 
 2.74121094e-10  8.42809128e-05 
 2.76562500e-10  8.61970359e-05 
 2.79003906e-10  8.81371331e-05 
 2.81445312e-10  9.01012299e-05 
 2.83886719e-10  9.20893502e-05 
 2.86328125e-10  9.41015165e-05 
 2.88769531e-10  9.61377502e-05 
 2.91210937e-10  9.81980714e-05 
 2.93652344e-10  1.00282499e-04 
 2.96093750e-10  1.02391050e-04 
 2.98535156e-10  1.04523741e-04 
 3.00976562e-10  1.06680587e-04 
 3.03417969e-10  1.08861602e-04 
 3.05859375e-10  1.11066799e-04 
 3.08300781e-10  1.13296190e-04 
 3.10742187e-10  1.15549784e-04 
 3.13183594e-10  1.17827591e-04 
 3.15625000e-10  1.20129620e-04 
 3.18066406e-10  1.22455878e-04 
 3.20507812e-10  1.24806371e-04 
 3.22949219e-10  1.27181104e-04 
 3.25390625e-10  1.29580081e-04 
 3.27832031e-10  1.32003306e-04 
 3.30273437e-10  1.34450780e-04 
 3.32714844e-10  1.36922506e-04 
 3.35156250e-10  1.39418483e-04 
 3.37597656e-10  1.41938710e-04 
 3.40039062e-10  1.44483187e-04 
 3.42480469e-10  1.47051910e-04 
 3.44921875e-10  1.49644877e-04 
 3.47363281e-10  1.52262083e-04 
 3.49804687e-10  1.54903523e-04 
 3.52246094e-10  1.57569192e-04 
 3.54687500e-10  1.60259082e-04 
 3.57128906e-10  1.62973187e-04 
 3.59570312e-10  1.65711497e-04 
 3.62011719e-10  1.68474005e-04 
 3.64453125e-10  1.71260700e-04 
 3.66894531e-10  1.74071572e-04 
 3.69335937e-10  1.76906609e-04 
 3.71777344e-10  1.79765799e-04 
 3.74218750e-10  1.82649130e-04 
 3.76660156e-10  1.85556589e-04 
 3.79101562e-10  1.88488161e-04 
 3.81542969e-10  1.91443831e-04 
 3.83984375e-10  1.94423584e-04 
 3.86425781e-10  1.97427404e-04 
 3.88867187e-10  2.00455275e-04 
 3.91308594e-10  2.03507178e-04 
 3.93750000e-10  2.06583096e-04 
 3.96191406e-10  2.09683010e-04 
 3.98632812e-10  2.12806902e-04 
 4.01074219e-10  2.15954751e-04 
 4.03515625e-10  2.19126537e-04 
 4.05957031e-10  2.22322240e-04 
 4.08398437e-10  2.25541837e-04 
 4.10839844e-10  2.28785306e-04 
 4.13281250e-10  2.32052626e-04 
 4.15722656e-10  2.35343773e-04 
 4.18164062e-10  2.38658724e-04 
 4.20605469e-10  2.41997454e-04 
 4.23046875e-10  2.45359939e-04 
 4.25488281e-10  2.48746154e-04 
 4.27929687e-10  2.52156073e-04 
 4.30371094e-10  2.55589670e-04 
 4.32812500e-10  2.59046920e-04 
 4.35253906e-10  2.62527793e-04 
 4.37695312e-10  2.66032264e-04 
 4.40136719e-10  2.69560305e-04 
 4.42578125e-10  2.73111887e-04 
 4.45019531e-10  2.76686981e-04 
 4.47460937e-10  2.80285559e-04 
 4.49902344e-10  2.83907591e-04 
 4.52343750e-10  2.87553047e-04 
 4.54785156e-10  2.91221896e-04 
 4.57226562e-10  2.94914108e-04 
 4.59667969e-10  2.98629652e-04 
 4.62109375e-10  3.02368497e-04 
 4.64550781e-10  3.06130609e-04 
 4.66992187e-10  3.09915959e-04 
 4.69433594e-10  3.13724511e-04 
 4.71875000e-10  3.17556235e-04 
 4.74316406e-10  3.21411096e-04 
 4.76757812e-10  3.25289061e-04 
 4.79199219e-10  3.29190096e-04 
 4.81640625e-10  3.33114167e-04 
 4.84082031e-10  3.37061240e-04 
 4.86523437e-10  3.41031278e-04 
 4.88964844e-10  3.45024248e-04 
 4.91406250e-10  3.49040113e-04 
 4.93847656e-10  3.53078839e-04 
 4.96289062e-10  3.57140388e-04 
 4.98730469e-10  3.61224725e-04 
 5.01171875e-10  3.65331813e-04 
 5.03613281e-10  3.69461614e-04 
 5.06054687e-10  3.73614093e-04 
 5.08496094e-10  3.77789210e-04 
 5.10937500e-10  3.81986930e-04 
 5.13378906e-10  3.86207213e-04 
 5.15820312e-10  3.90450022e-04 
 5.18261719e-10  3.94715317e-04 
 5.20703125e-10  3.99003061e-04 
 5.23144531e-10  4.03313215e-04 
 5.25585937e-10  4.07645738e-04 
 5.28027344e-10  4.12000593e-04 
 5.30468750e-10  4.16377739e-04 
 5.32910156e-10  4.20777136e-04 
 5.35351562e-10  4.25198744e-04 
 5.37792969e-10  4.29642524e-04 
 5.40234375e-10  4.34108434e-04 
 5.42675781e-10  4.38596435e-04 
 5.45117187e-10  4.43106484e-04 
 5.47558594e-10  4.47638542e-04 
 5.50000000e-10  4.52192566e-04 
 5.52441406e-10  4.56768516e-04 
 5.54882812e-10  4.61366350e-04 
 5.57324219e-10  4.65986025e-04 
 5.59765625e-10  4.70627501e-04 
 5.62207031e-10  4.75290734e-04 
 5.64648437e-10  4.79975683e-04 
 5.67089844e-10  4.84682305e-04 
 5.69531250e-10  4.89410557e-04 
 5.71972656e-10  4.94160396e-04 
 5.74414062e-10  4.98931781e-04 
 5.76855469e-10  5.03724666e-04 
 5.79296875e-10  5.08539010e-04 
 5.81738281e-10  5.13374768e-04 
 5.84179687e-10  5.18231898e-04 
 5.86621094e-10  5.23110355e-04 
 5.89062500e-10  5.28010096e-04 
 5.91503906e-10  5.32931076e-04 
 5.93945312e-10  5.37873252e-04 
 5.96386719e-10  5.42836578e-04 
 5.98828125e-10  5.47821012e-04 
 6.01269531e-10  5.52826508e-04 
 6.03710937e-10  5.57853022e-04 
 6.06152344e-10  5.62900508e-04 
 6.08593750e-10  5.67968923e-04 
 6.11035156e-10  5.73058221e-04 
 6.13476562e-10  5.78168357e-04 
 6.15917969e-10  5.83299285e-04 
 6.18359375e-10  5.88450961e-04 
 6.20800781e-10  5.93623339e-04 
 6.23242187e-10  5.98816373e-04 
 6.25683594e-10  6.04030019e-04 
 6.28125000e-10  6.09264229e-04 
 6.30566406e-10  6.14518959e-04 
 6.33007812e-10  6.19794162e-04 
 6.35449219e-10  6.25089792e-04 
 6.37890625e-10  6.30405804e-04 
 6.40332031e-10  6.35742151e-04 
 6.42773437e-10  6.41098786e-04 
 6.45214844e-10  6.46475664e-04 
 6.47656250e-10  6.51872738e-04 
 6.50097656e-10  6.57289961e-04 
 6.52539062e-10  6.62727287e-04 
 6.54980469e-10  6.68184670e-04 
 6.57421875e-10  6.73662061e-04 
 6.59863281e-10  6.79159415e-04 
 6.62304687e-10  6.84676685e-04 
 6.64746094e-10  6.90213823e-04 
 6.67187500e-10  6.95770783e-04 
 6.69628906e-10  7.01347518e-04 
 6.72070312e-10  7.06943979e-04 
 6.74511719e-10  7.12560121e-04 
 6.76953125e-10  7.18195895e-04 
 6.79394531e-10  7.23851255e-04 
 6.81835937e-10  7.29526153e-04 
 6.84277344e-10  7.35220541e-04 
 6.86718750e-10  7.40934372e-04 
 6.89160156e-10  7.46667598e-04 
 6.91601562e-10  7.52420172e-04 
 6.94042969e-10  7.58192045e-04 
 6.96484375e-10  7.63983171e-04 
 6.98925781e-10  7.69793502e-04 
