# Logfile created on 2026-01-27 22:56:55 +0100 by logger.rb/v1.5.3
2026-01-27 22:56:55 +0100: Memory Usage (435824K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic_final/OTA_Telescopic_currentRef.gds
2026-01-27 22:56:55 +0100: Memory Usage (435824K) : Ruby Version for klayout: 3.2.3
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : Loading database to memory is complete.
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic_final/drc_run_OTA_Telescopic_currentRef/OTA_Telescopic_currentRef_OTA_Telescopic_currentRef_main.lyrdb
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : Evaluate switches.
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : tables selected: main
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : KLayout will use 1 thread(s) in tiled mode.
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : deep mode is enabled.
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : FEOL enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : BEOL enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : OFFGRID enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : PIN enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : FORBIDDEN enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : RECOMMENDED enabled: true
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : PreCheck DRC enabled: false
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : CONNECTIVITY_RULES enabled: true.
2026-01-27 22:56:55 +0100: Memory Usage (436848K) : Read in polygons from layers.
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_drw has 60 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_pin has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_mask has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_filler has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_nofill has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_iopc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : activ_noqrc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : biwind_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : biwind_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : pemwind_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_drw has 62 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_pin has 11 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_filler has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_nofill has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_iopc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (437872K) : gatpoly_noqrc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438000K) : cont_drw has 1653 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438000K) : cont_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : nsd_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : nsd_block has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : metal1_drw has 135 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : metal1_pin has 28 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : metal1_mask has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438128K) : metal1_filler has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438384K) : metal1_nofill has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438384K) : metal1_slit has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438640K) : metal1_text has 4 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438640K) : metal1_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438640K) : metal1_noqrc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438768K) : metal1_res has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438768K) : metal1_iprobe has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438896K) : metal1_diffprb has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438896K) : passiv_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (438896K) : passiv_pin has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439024K) : passiv_sbump has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439024K) : passiv_pillar has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439152K) : passiv_pdl has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439152K) : metal2_drw has 24 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439280K) : metal2_pin has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439280K) : metal2_mask has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439280K) : metal2_filler has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439408K) : metal2_nofill has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439408K) : metal2_slit has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439536K) : metal2_text has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439664K) : metal2_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439664K) : metal2_noqrc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439664K) : metal2_res has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439792K) : metal2_iprobe has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439792K) : metal2_diffprb has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439920K) : baspoly_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (439920K) : baspoly_pin has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440048K) : psd_drw has 10 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440048K) : nldb_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440176K) : digibnd_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440176K) : via1_drw has 159 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440176K) : backmetal1_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440304K) : backmetal1_pin has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440304K) : backmetal1_mask has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440432K) : backmetal1_filler has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440432K) : backmetal1_nofill has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440432K) : backmetal1_slit has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440560K) : backmetal1_text has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440560K) : backmetal1_opc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440688K) : backmetal1_noqrc has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440688K) : backmetal1_res has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440816K) : backmetal1_iprobe has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440816K) : backmetal1_diffprb has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440816K) : backpassiv_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440944K) : res_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (440944K) : sram_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (441072K) : trans_drw has 0 polygons
2026-01-27 22:56:55 +0100: Memory Usage (441200K) : ind_drw has 0 polygons
