# Logfile created on 2026-03-01 20:40:33 +0100 by logger.rb/v1.5.3
2026-03-01 20:40:33 +0100: Memory Usage (434416K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/OTA_Telescopic_CMFB.gds
2026-03-01 20:40:33 +0100: Memory Usage (434416K) : Ruby Version for klayout: 3.2.3
2026-03-01 20:40:33 +0100: Memory Usage (435440K) : Loading database to memory is complete.
2026-03-01 20:40:33 +0100: Memory Usage (435568K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_OTA_Telescopic_CMFB/OTA_Telescopic_CMFB_OTA_Telescopic_CMFB_main.lyrdb
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : Evaluate switches.
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : tables selected: main
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : KLayout will use 1 thread(s) in tiled mode.
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : deep mode is enabled.
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : FEOL enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : BEOL enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : OFFGRID enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : PIN enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : FORBIDDEN enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : RECOMMENDED enabled: true
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : PreCheck DRC enabled: false
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : CONNECTIVITY_RULES enabled: true.
2026-03-01 20:40:33 +0100: Memory Usage (435696K) : Read in polygons from layers.
2026-03-01 20:40:33 +0100: Memory Usage (436720K) : activ_drw has 710 polygons
2026-03-01 20:40:33 +0100: Memory Usage (436720K) : activ_pin has 0 polygons
2026-03-01 20:40:33 +0100: Memory Usage (436720K) : activ_mask has 0 polygons
2026-03-01 20:40:33 +0100: Memory Usage (436720K) : activ_filler has 0 polygons
