# Logfile created on 2026-01-24 16:50:27 +0100 by logger.rb/v1.5.3
2026-01-24 16:50:27 +0100: Memory Usage (434052K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic_final/OTA_Telescopic_CMFB.gds
2026-01-24 16:50:27 +0100: Memory Usage (434052K) : Ruby Version for klayout: 3.2.3
2026-01-24 16:50:27 +0100: Memory Usage (434820K) : Loading database to memory is complete.
2026-01-24 16:50:27 +0100: Memory Usage (434948K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic_final/drc_run_OTA_Telescopic_CMFB/OTA_Telescopic_CMFB_OTA_Telescopic_CMFB_main.lyrdb
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : Evaluate switches.
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : tables selected: main
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : KLayout will use 1 thread(s) in tiled mode.
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : deep mode is enabled.
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : FEOL enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : BEOL enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : OFFGRID enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : PIN enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : FORBIDDEN enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : RECOMMENDED enabled: true
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : PreCheck DRC enabled: false
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : CONNECTIVITY_RULES enabled: true.
2026-01-24 16:50:27 +0100: Memory Usage (435076K) : Read in polygons from layers.
2026-01-24 16:50:27 +0100: Memory Usage (436228K) : activ_drw has 617 polygons
2026-01-24 16:50:27 +0100: Memory Usage (436228K) : activ_pin has 0 polygons
2026-01-24 16:50:27 +0100: Memory Usage (436228K) : activ_mask has 0 polygons
2026-01-24 16:50:27 +0100: Memory Usage (436228K) : activ_filler has 0 polygons
