# Logfile created on 2026-01-27 22:13:19 +0100 by logger.rb/v1.5.3
2026-01-27 22:13:19 +0100: Memory Usage (434844K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic_final/OTA_Telescopic_FB.gds
2026-01-27 22:13:19 +0100: Memory Usage (434844K) : Ruby Version for klayout: 3.2.3
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : Loading database to memory is complete.
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic_final/drc_run_OTA_Telescopic_FB/OTA_Telescopic_FB_OTA_Telescopic_FB_main.lyrdb
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : Evaluate switches.
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : tables selected: main
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : KLayout will use 1 thread(s) in tiled mode.
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : deep mode is enabled.
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : FEOL enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : BEOL enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : OFFGRID enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : PIN enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : FORBIDDEN enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : RECOMMENDED enabled: true
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : PreCheck DRC enabled: false
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : CONNECTIVITY_RULES enabled: true.
2026-01-27 22:13:19 +0100: Memory Usage (435868K) : Read in polygons from layers.
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_drw has 2658 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_pin has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_mask has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_filler has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_nofill has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_opc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_iopc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : activ_noqrc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : biwind_drw has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : biwind_opc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : pemwind_drw has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_drw has 1572 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_pin has 240 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_filler has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_nofill has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_opc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_iopc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : gatpoly_noqrc has 0 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : cont_drw has 12606 polygons
2026-01-27 22:13:19 +0100: Memory Usage (436892K) : cont_opc has 0 polygons
