# Logfile created on 2026-01-27 18:18:38 +0100 by logger.rb/v1.5.3
2026-01-27 18:18:38 +0100: Memory Usage (436908K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic_final/OTA_Telescopic_core.gds
2026-01-27 18:18:38 +0100: Memory Usage (436908K) : Ruby Version for klayout: 3.2.3
2026-01-27 18:18:38 +0100: Memory Usage (437932K) : Loading database to memory is complete.
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic_final/drc_run_OTA_Telescopic_core/OTA_Telescopic_core_OTA_Telescopic_core_main.lyrdb
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : Evaluate switches.
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : tables selected: main
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : KLayout will use 1 thread(s) in tiled mode.
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : deep mode is enabled.
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : FEOL enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : BEOL enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : OFFGRID enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : PIN enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : FORBIDDEN enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : RECOMMENDED enabled: true
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : PreCheck DRC enabled: false
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : CONNECTIVITY_RULES enabled: true.
2026-01-27 18:18:38 +0100: Memory Usage (438060K) : Read in polygons from layers.
2026-01-27 18:18:38 +0100: Memory Usage (438956K) : activ_drw has 2658 polygons
2026-01-27 18:18:38 +0100: Memory Usage (438956K) : activ_pin has 0 polygons
2026-01-27 18:18:38 +0100: Memory Usage (438956K) : activ_mask has 0 polygons
2026-01-27 18:18:38 +0100: Memory Usage (438956K) : activ_filler has 0 polygons
2026-01-27 18:18:38 +0100: Memory Usage (438956K) : activ_nofill has 0 polygons
